Waist,AT,mean,std,normal dist for AT,normal dist for Waist
74.75,25.72,101.8940367,57.29476272,0.00287717,0.013219419
72.6,25.89,91.90183486,13.55911598,0.00288853,0.010681743
81.8,42.6,,,0.004075951,0.022292026
83.95,42.8,,,0.004090678,0.02477393
74.65,29.84,,,0.003157642,0.013096308
71.85,21.68,,,0.002613196,0.009857829
80.9,29.08,,,0.003105131,0.021169778
83.4,32.98,,,0.003377872,0.024171656
63.5,11.44,,,0.002002475,0.003280325
73.2,32.22,,,0.003324113,0.011365122
71.9,28.32,,,0.003052955,0.009911666
75,43.86,,,0.004168771,0.013529061
73.1,38.21,,,0.003754195,0.011249792
79,42.48,,,0.004067117,0.018709997
77,30.96,,,0.003235612,0.01608404
68.85,55.78,,,0.005036497,0.006935062
75.95,43.78,,,0.004162875,0.014727579
74.15,33.41,,,0.003408406,0.01248755
73.8,43.35,,,0.00413119,0.012068567
75.9,29.31,,,0.003120987,0.014663726
76.85,36.6,,,0.003637312,0.015888699
80.9,40.25,,,0.003903275,0.021169778
79.9,35.43,,,0.003552902,0.019885951
89.2,60.09,,,0.005335736,0.028844078
82,45.84,,,0.004314702,0.022535898
92,70.4,,,0.005986644,0.029421669
86.6,83.45,,,0.006611383,0.027257012
80.5,84.3,,,0.006642303,0.02066007
86,78.89,,,0.006423769,0.026763232
82.5,64.75,,,0.005643265,0.023135281
83.5,72.56,,,0.006107658,0.024283033
88.1,89.31,,,0.006797041,0.028288306
90.8,78.94,,,0.006426018,0.029325456
89.4,83.55,,,0.006615089,0.028925834
102,127,,,0.006325585,0.022296521
94.5,121,,,0.006586401,0.028887212
91,107,,,0.006935385,0.029357433
103,129,,,0.006225771,0.021047563
80,74.02,,,0.006185855,0.020015648
79,55.48,,,0.005015248,0.018709997
83.5,73.13,,,0.006138543,0.024283033
76,50.5,,,0.004656635,0.01479151
80.5,50.88,,,0.004684318,0.02066007
86.5,140,,,0.005581389,0.027177782
83,96.54,,,0.006932644,0.023718331
107.1,118,,,0.006693232,0.015698572
94.3,107,,,0.006935385,0.028965823
94.5,123,,,0.006506212,0.028887212
79.7,65.92,,,0.005717279,0.019625869
79.3,81.29,,,0.006526992,0.019103394
89.8,111,,,0.006875593,0.02907106
83.8,90.73,,,0.006832043,0.024612217
85.2,133,,,0.006008837,0.02603931
75.5,41.9,,,0.00402444,0.014155831
78.4,41.71,,,0.004010467,0.017921001
78.6,58.16,,,0.00520324,0.018184188
87.8,88.85,,,0.006784847,0.028106476
86.3,155,,,0.004531462,0.027015605
85.5,70.77,,,0.006007808,0.026319192
83.7,75.08,,,0.006240715,0.024503329
77.6,57.05,,,0.005125898,0.016869058
84.9,99.73,,,0.006958015,0.025749796
79.8,27.96,,,0.003028362,0.019756019
108.3,123,,,0.006506212,0.014160466
119.6,90.41,,,0.006824505,0.003652097
119.9,106,,,0.006945123,0.003489854
96.5,144,,,0.005315186,0.027778339
105.5,121,,,0.006586401,0.017794218
105,97.13,,,0.006938951,0.018452049
107,166,,,0.00372349,0.015828454
107,87.99,,,0.006760939,0.015828454
101,154,,,0.004604665,0.023491467
97,100,,,0.006959176,0.027414481
100,123,,,0.006506212,0.024616197
108,217,,,0.000925464,0.014540927
100,140,,,0.005581389,0.024616197
103,109,,,0.006909633,0.021047563
104,127,,,0.006325585,0.019760791
106,112,,,0.006855502,0.017136521
109,192,,,0.002021736,0.01328567
103.5,132,,,0.006065122,0.020407902
110,126,,,0.006373178,0.012072928
110,153,,,0.004677625,0.012072928
112,158,,,0.004310876,0.009808085
108.5,183,,,0.002556549,0.013908588
104,184,,,0.002493778,0.019760791
111,121,,,0.006586401,0.010911376
108.5,159,,,0.004237177,0.013908588
121,245,,,0.000307684,0.002941889
109,137,,,0.005771265,0.01328567
97.5,165,,,0.00379634,0.027018625
105.5,152,,,0.004750294,0.017794218
98,181,,,0.002684416,0.0265923
94.5,80.95,,,0.006512963,0.028887212
97,137,,,0.005771265,0.027414481
105,125,,,0.006419173,0.018452049
106,241,,,0.000365408,0.017136521
99,134,,,0.005951262,0.025654853
91,150,,,0.004894561,0.029357433
102.5,198,,,0.001705367,0.021677777
106,151,,,0.004822623,0.017136521
109.1,229,,,0.000594421,0.013162327
115,253,,,0.000214986,0.006894852
101,188,,,0.002250865,0.023491467
100.1,124,,,0.00646353,0.02450734
93.3,62.2,,,0.005477336,0.029266432
101.8,133,,,0.006008837,0.022540351
107.9,208,,,0.001253303,0.01466841
108.5,208,,,0.001253303,0.013908588
